 ,XM,YM
1,644.551,257.009
2,791.224,257.029
3,614.472,261.915
4,821.408,261.876
5,689.581,268.637
6,746.043,268.648
7,578.742,271.124
8,857.026,271.083
9,546.000,279.329
10,889.759,279.327
11,669.069,287.454
12,766.754,287.403
13,931.338,299.830
14,504.302,300.754
15,527.056,305.411
16,717.839,305.728
17,908.706,305.290
18,884.469,304.839
19,663.567,306.923
20,772.192,306.808
21,953.205,315.862
22,479.284,316.836
23,882.104,317.500
24,657.173,325.486
25,778.683,325.445
26,977.167,324.944
27,698.828,326.380
28,736.937,326.429
29,537.828,328.500
30,524.522,335.661
31,988.000,334.598
32,447.944,337.571
33,878.218,342.400
34,685.342,344.212
35,750.252,344.330
36,652.594,345.289
37,783.119,345.262
38,802.706,354.470
39,1007.024,352.549
40,876.500,355.000
41,698.539,357.844
42,737.182,357.748
43,556.589,357.354
44,525.124,358.087
45,427.968,358.959
46,821.695,361.792
47,845.108,365.237
48,403.092,364.303
49,1015.994,366.494
50,710.386,366.553
51,725.408,366.492
52,442.224,367.845
53,645.156,372.547
54,790.454,372.592
55,517.679,373.907
56,569.223,382.189
57,1045.500,381.500
58,891.732,384.260
59,374.569,385.608
60,867.549,385.024
61,990.629,386.153
62,501.019,389.752
63,924.458,400.711
64,699.331,393.688
65,736.438,393.706
66,1054.545,393.164
67,860.847,396.992
68,482.647,398.381
69,534.379,398.070
70,645.868,398.132
71,812.425,403.597
72,454.736,402.573
73,552.289,400.289
74,582.419,399.500
75,519.800,400.800
76,970.003,403.609
77,498.577,409.772
78,1059.947,409.649
79,673.444,411.782
80,762.223,411.840
81,351.322,413.764
82,957.394,418.621
83,598.037,420.378
84,1038.872,419.050
85,460.451,427.024
86,856.086,427.470
87,1088.650,427.483
88,389.892,428.212
89,484.248,438.603
90,643.850,434.000
91,680.348,434.614
92,755.500,434.500
93,791.979,434.046
94,331.571,438.942
95,627.394,438.160
96,1017.521,438.955
97,936.590,438.631
98,414.756,441.267
99,608.364,445.114
100,1103.758,443.418
101,577.804,446.457
102,784.722,450.190
103,653.456,451.186
104,923.223,451.291
105,396.500,449.822
106,472.153,451.008
107,435.126,452.409
108,1013.547,455.895
109,698.126,456.927
110,737.500,457.000
111,811.058,458.217
112,847.097,461.403
113,389.107,460.444
114,829.019,459.731
115,572.128,466.604
116,1118.365,464.222
117,906.275,471.804
118,695.606,472.732
119,740.193,472.743
120,312.785,473.376
121,453.409,472.000
122,860.500,473.000
123,1030.500,474.000
124,681.309,476.173
125,754.353,476.142
126,486.624,479.054
127,887.136,480.682
128,378.159,483.858
129,524.000,485.000
130,556.341,484.181
131,1122.561,486.723
132,336.500,487.185
133,538.051,486.481
134,1041.872,493.500
135,365.032,489.250
136,674.238,491.805
137,761.599,491.798
138,1090.338,498.418
139,905.456,493.676
140,483.898,496.606
141,921.636,499.148
142,293.138,502.046
143,497.107,505.995
144,355.471,507.525
145,1060.866,509.112
146,1136.991,507.026
147,374.803,510.273
148,932.871,513.452
149,664.431,515.729
150,771.359,515.781
151,488.206,522.815
152,392.836,522.866
153,1024.688,527.099
154,1068.380,531.172
155,1143.103,532.404
156,938.559,531.529
157,307.023,534.957
158,668.629,534.477
159,767.088,534.360
160,280.023,553.142
161,995.422,541.383
162,413.948,541.481
163,473.191,543.704
164,684.000,545.000
165,751.721,545.031
166,345.976,548.451
167,533.380,549.167
168,608.349,549.373
169,827.188,549.500
170,902.132,549.132
171,1145.085,561.990
172,324.795,554.711
173,590.737,550.399
174,845.029,550.514
175,555.567,551.441
176,572.427,551.264
177,863.221,551.284
178,880.113,551.307
179,362.420,553.668
180,1077.744,552.556
181,376.379,560.314
182,973.963,556.785
183,434.768,556.448
184,624.703,559.635
185,810.979,559.569
186,457.807,559.136
187,699.906,560.385
188,735.976,560.345
189,684.331,564.265
190,751.559,564.174
191,398.639,565.213
192,515.005,565.374
193,920.734,565.374
194,531.167,566.694
195,904.593,566.852
196,1115.106,570.609
197,1081.934,575.009
198,414.430,572.610
199,961.463,573.067
200,717.956,573.205
201,1096.000,575.500
202,1168.715,576.117
203,639.185,576.743
204,796.573,576.736
205,315.956,582.774
206,452.390,582.173
207,369.037,580.963
208,266.875,584.500
209,507.796,585.261
210,927.849,585.247
211,297.379,585.606
212,687.115,586.047
213,748.457,586.030
214,969.905,585.905
215,1051.613,586.834
216,404.461,592.621
217,355.024,597.875
218,332.981,595.453
219,1012.106,599.661
220,647.996,599.798
221,787.868,599.808
222,455.729,600.948
223,1028.752,601.801
224,996.663,604.422
225,1135.841,604.960
226,1167.844,606.052
227,511.762,605.451
228,685.707,607.328
229,749.762,607.372
230,923.976,605.451
231,1095.697,609.935
232,979.291,608.799
233,399.562,620.162
234,453.481,618.949
235,511.216,625.991
236,924.350,625.969
237,639.117,626.804
238,796.552,626.665
239,1038.922,627.155
240,1169.717,629.559
241,986.500,627.653
242,243.048,630.004
243,283.364,630.473
244,443.801,636.747
245,315.991,633.114
246,683.275,633.747
247,752.324,633.761
248,399.917,637.017
249,1145.229,637.857
250,521.170,639.274
251,914.500,639.347
252,352.869,640.621
253,1039.153,640.085
254,1089.466,642.901
255,1117.666,641.776
256,378.678,642.911
257,416.448,648.627
258,312.000,649.000
259,623.342,648.421
260,812.470,648.370
261,600.692,650.100
262,834.979,650.045
263,535.052,650.259
264,900.566,650.313
265,580.110,651.400
266,855.593,651.438
267,998.684,657.720
268,1039.533,655.688
269,662.785,653.963
270,772.876,653.924
271,1174.204,654.091
272,558.500,654.419
273,877.385,654.385
274,438.000,656.500
275,716.390,658.989
276,238.742,660.264
277,1090.908,663.410
278,330.365,677.884
279,1115.382,662.957
280,1160.664,663.264
281,744.747,663.174
282,1060.845,664.086
283,1138.792,668.167
284,696.253,667.380
285,350.809,674.313
286,1176.409,675.152
287,645.816,676.582
288,789.816,676.582
289,474.500,684.962
290,751.675,682.617
291,961.344,684.875
292,564.787,687.593
293,685.768,687.687
294,870.990,687.541
295,1138.881,686.810
296,587.471,688.935
297,848.335,689.032
298,348.781,689.404
299,432.433,689.077
300,538.583,691.438
301,897.096,691.432
302,1093.155,696.148
303,1181.208,691.544
304,612.024,697.424
305,823.824,697.341
306,1135.860,708.569
307,237.641,701.856
308,426.000,702.500
309,744.000,701.117
310,566.048,703.883
311,869.721,703.827
312,317.129,707.480
313,648.554,704.370
314,787.225,704.357
315,477.957,707.476
316,957.929,707.563
317,517.157,708.369
318,918.562,708.407
319,1000.053,710.333
320,698.500,709.552
321,353.041,711.537
322,724.250,712.688
323,1177.781,713.596
324,254.988,715.453
325,285.605,716.667
326,1091.248,717.710
327,565.595,722.184
328,615.500,721.104
329,820.236,721.127
330,870.203,722.304
331,418.236,721.906
332,1006.562,726.859
333,371.462,728.034
334,655.582,728.758
335,780.136,728.682
336,238.604,733.356
337,474.500,730.104
338,678.000,730.000
339,757.862,730.000
340,961.241,730.148
341,517.237,731.132
342,918.246,731.044
343,286.966,732.776
344,1176.196,738.527
345,262.500,732.764
346,1041.099,733.755
347,1086.087,740.082
348,1059.822,735.798
349,1132.033,737.364
350,389.772,736.150
351,339.167,737.944
352,363.857,740.143
353,566.885,742.085
354,868.939,742.174
355,1155.456,741.324
356,692.901,745.495
357,742.798,745.521
358,315.570,745.226
359,422.248,746.017
360,650.596,748.449
361,785.150,748.460
362,610.576,749.128
363,825.128,749.141
364,474.730,753.270
365,526.455,753.311
366,909.158,753.228
367,961.030,753.178
368,243.707,755.640
369,552.615,753.385
370,586.343,755.171
371,849.442,755.201
372,883.110,753.400
373,435.000,755.000
374,338.014,756.915
375,1003.167,756.455
376,1129.627,757.359
377,397.130,760.038
378,1178.537,764.041
379,656.966,765.114
380,778.792,765.140
381,680.307,767.247
382,755.382,767.355
383,354.821,770.500
384,286.497,776.726
385,435.003,772.607
386,1127.980,774.547
387,1076.731,778.143
388,334.392,779.635
389,249.614,779.447
390,365.500,778.815
391,1007.441,781.195
392,394.000,782.500
393,579.354,784.218
394,680.599,789.558
395,703.289,783.876
396,732.500,784.000
397,755.023,789.492
398,856.452,784.129
399,1176.017,783.917
400,604.000,785.500
401,801.833,785.744
402,831.697,785.571
403,1031.466,785.963
404,499.794,788.322
405,633.754,785.795
406,654.500,785.896
407,781.306,785.833
408,935.770,788.426
409,555.918,789.301
410,879.868,789.375
411,270.122,790.293
412,1064.567,789.923
413,433.429,797.315
414,1091.268,793.612
415,998.931,793.146
416,313.664,798.794
417,643.484,799.251
418,792.284,799.379
419,1123.772,796.564
420,382.957,799.618
421,332.815,800.554
422,537.331,800.944
423,898.292,801.020
424,1170.138,801.000
425,717.929,802.247
426,413.223,805.708
427,1152.883,809.048
428,608.730,810.270
429,827.041,810.356
430,679.354,811.598
431,756.175,811.484
432,995.138,811.000
433,256.663,812.500
434,1103.382,812.618
435,581.669,813.944
436,854.118,814.012
437,557.587,815.987
438,645.948,815.241
439,789.822,815.161
440,878.120,815.937
441,378.107,817.966
442,717.850,829.752
443,325.095,818.905
444,485.003,821.486
445,950.733,821.467
446,530.164,822.756
447,905.595,822.738
448,1003.609,824.182
449,1098.194,833.145
450,985.609,827.182
451,1171.000,826.000
452,347.541,828.896
453,682.037,828.963
454,753.598,828.877
455,646.115,830.047
456,789.358,830.040
457,265.480,832.547
458,1019.777,831.295
459,442.865,833.413
460,403.175,836.063
461,584.932,836.068
462,850.885,836.047
463,1038.897,837.971
464,559.858,837.658
465,607.836,837.719
466,827.767,837.767
467,876.000,837.683
468,315.442,839.693
469,976.769,842.164
470,681.298,843.316
471,754.343,843.343
472,647.586,847.119
473,788.084,847.208
474,1164.085,847.520
475,286.198,849.569
476,542.254,849.851
477,893.433,849.784
478,1087.000,851.265
479,671.477,854.578
480,764.143,854.516
481,400.310,858.018
482,692.257,856.914
483,743.374,856.950
484,968.070,857.723
485,634.934,858.172
486,801.024,858.266
487,334.933,858.933
488,422.609,859.228
489,599.866,859.241
490,835.866,859.241
491,1064.614,858.129
492,1140.087,868.273
493,567.566,861.787
494,868.135,861.850
495,513.469,863.525
496,717.853,863.607
497,922.425,863.469
498,455.351,866.958
499,1090.586,872.141
500,959.317,875.133
501,283.347,877.659
502,354.871,877.452
503,1160.953,878.115
504,1073.593,878.852
505,404.380,887.144
506,430.740,884.539
507,710.661,888.448
508,1104.325,883.617
509,594.612,887.418
510,841.077,887.392
511,472.822,888.764
512,942.371,894.877
513,1141.504,894.100
514,641.365,891.207
515,794.530,891.239
516,734.116,893.017
517,967.631,893.741
518,1118.254,897.963
519,380.167,894.833
520,277.143,901.886
521,480.633,906.038
522,536.000,902.907
523,654.941,904.074
524,780.866,904.164
525,899.847,902.898
526,1105.592,903.258
527,1001.145,913.028
528,1058.709,903.604
529,416.404,907.644
530,694.130,908.681
531,741.581,908.522
532,602.569,909.637
533,833.055,909.586
534,634.236,910.178
535,801.500,910.221
536,576.695,912.026
537,859.016,912.041
538,495.643,914.410
539,923.694,916.161
540,388.286,915.937
541,1048.585,919.873
542,1093.492,923.284
543,287.380,924.828
544,463.045,925.486
545,394.029,928.524
546,1133.083,928.017
547,659.094,929.109
548,776.616,929.043
549,625.819,932.217
550,684.883,932.048
551,750.932,932.068
552,809.952,932.117
553,564.046,934.126
554,871.759,934.185
555,521.500,933.000
556,1028.888,936.654
557,1043.500,935.896
558,407.956,937.660
559,609.033,937.887
560,826.529,937.843
561,449.331,940.591
562,671.255,943.511
563,764.253,943.478
564,1073.010,941.198
565,1056.159,943.576
566,507.081,945.731
567,947.411,946.021
568,297.637,947.729
569,370.940,946.836
570,536.622,947.700
571,1012.596,953.602
572,1123.527,950.836
573,925.500,951.500
574,1069.500,953.314
575,432.341,955.528
576,495.584,958.920
577,557.628,962.508
578,347.900,963.734
579,866.323,965.439
580,313.595,964.957
581,966.610,965.559
582,534.206,967.283
583,576.925,966.337
584,1107.270,967.724
585,521.500,964.500
586,996.519,970.513
587,834.141,971.378
588,918.479,977.717
589,454.129,974.416
590,397.387,977.213
591,512.546,976.846
592,486.271,977.142
593,979.191,977.765
594,375.593,977.852
595,412.797,980.662
596,596.034,980.462
597,1076.025,981.543
598,718.349,981.390
599,818.143,983.440
600,331.695,985.621
601,674.396,984.239
602,761.368,984.162
603,898.366,984.246
604,563.933,986.537
605,649.887,984.916
606,785.993,984.926
607,619.852,986.434
608,691.852,988.539
609,743.722,988.561
610,938.436,987.307
611,426.700,984.300
612,1091.403,995.301
613,467.007,993.572
614,966.150,998.243
615,883.587,997.032
616,588.537,997.145
617,376.202,998.340
618,997.962,998.521
619,515.359,1000.000
620,419.802,1004.558
621,564.908,1007.950
622,931.104,1006.500
623,340.808,1008.876
624,1067.802,1012.769
625,456.578,1008.422
626,1019.095,1012.161
627,653.981,1013.330
628,781.972,1015.780
629,382.983,1017.304
630,584.592,1018.492
631,877.367,1017.167
632,405.339,1020.339
633,544.739,1019.550
634,862.096,1020.390
635,526.820,1021.770
636,846.099,1023.827
637,760.551,1025.022
638,926.147,1024.907
639,894.895,1027.895
640,699.540,1030.218
641,732.430,1029.921
642,440.444,1031.852
643,601.500,1029.500
644,632.659,1030.477
645,783.432,1032.637
646,1039.293,1030.878
647,469.000,1031.462
648,360.883,1033.557
649,820.765,1034.417
650,490.770,1035.953
651,673.019,1033.685
652,616.056,1036.583
653,576.675,1039.253
654,653.382,1038.842
655,1052.303,1040.398
656,511.021,1041.046
657,801.000,1045.412
658,379.350,1048.294
659,921.003,1054.102
660,428.353,1049.737
661,606.944,1048.525
662,500.000,1044.500
663,529.500,1051.087
664,627.000,1059.120
665,1033.315,1059.282
666,656.809,1062.546
667,779.006,1062.477
668,799.367,1060.520
669,396.603,1064.962
670,570.632,1064.888
671,872.833,1066.519
672,593.306,1065.449
673,853.540,1066.836
674,545.279,1069.714
675,419.711,1071.811
676,636.000,1075.090
677,838.608,1076.542
678,889.378,1078.629
679,1010.368,1077.991
680,608.277,1082.857
681,436.396,1087.649
682,565.033,1085.711
683,662.929,1089.006
684,772.887,1088.984
685,807.000,1089.500
686,921.955,1091.303
687,905.739,1090.376
688,591.178,1092.102
689,546.272,1093.451
690,997.224,1094.334
691,629.234,1094.930
692,832.810,1097.810
693,576.016,1102.158
694,458.290,1102.703
695,952.779,1103.118
696,556.674,1111.609
697,485.836,1114.996
698,640.449,1114.150
699,971.201,1114.846
700,814.127,1116.924
701,664.090,1117.791
702,771.584,1117.752
703,950.452,1123.924
704,504.644,1127.144
705,928.465,1128.372
706,533.915,1132.952
707,567.683,1137.078
708,821.058,1136.072
709,900.669,1135.894
710,647.096,1136.864
711,671.029,1141.105
712,764.813,1141.152
713,878.858,1149.738
714,831.070,1151.056
715,854.601,1156.500
716,584.455,1156.522
717,643.000,1159.402
718,798.225,1169.452
719,609.962,1169.376
720,632.346,1176.198
721,652.605,1178.049
722,675.721,1180.172
723,759.932,1180.258
724,701.067,1186.585
725,734.755,1186.624
726,644.551,257.009
727,791.224,257.029
728,614.472,261.915
729,821.408,261.876
730,689.581,268.637
731,746.043,268.648
732,578.742,271.124
733,857.026,271.083
734,546.000,279.329
735,889.759,279.327
736,669.069,287.454
737,766.754,287.403
738,931.338,299.830
